Variables: 56, expected states 16777216
Computed state count: 547187354725515260
Start backward reachability: (states=1, size=63)
 >> (progress=85.78%%, states=4028824027136, size=405)
 >> (progress=85.78%%, states=4029092462592, size=430)
 >> (progress=85.78%%, states=4029226680320, size=431)
 >> (progress=85.78%%, states=4029629333504, size=427)
 >> (progress=85.78%%, states=4031047008256, size=412)
 >> (progress=85.78%%, states=4033882357760, size=426)
 >> (progress=85.78%%, states=4039553056768, size=472)
 >> (progress=85.79%%, states=4043285987328, size=437)
 >> (progress=85.81%%, states=4123906801664, size=233)
 >> (progress=85.90%%, states=4458310270976, size=279)
 >> (progress=85.97%%, states=4707854581760, size=256)
 >> (progress=85.98%%, states=4735618777088, size=336)
 >> (progress=85.98%%, states=4739123118080, size=330)
 >> (progress=85.98%%, states=4744307277824, size=308)
 >> (progress=86.64%%, states=8229014732800, size=492)
 >> (progress=86.74%%, states=8913403510784, size=493)
 >> (progress=86.74%%, states=8924505833472, size=514)
 >> (progress=86.74%%, states=8946710478848, size=586)
 >> (progress=86.74%%, states=8949109620736, size=641)
 >> (progress=86.74%%, states=8950309191680, size=647)
 >> (progress=86.74%%, states=8950908977152, size=629)
 >> (progress=86.74%%, states=8952708333568, size=622)
 >> (progress=86.74%%, states=8956307046400, size=604)
 >> (progress=86.74%%, states=8958454530048, size=646)
 >> (progress=86.74%%, states=8959486328832, size=658)
 >> (progress=86.74%%, states=8960002228224, size=626)
 >> (progress=86.74%%, states=8961549926400, size=619)
 >> (progress=86.74%%, states=8964645322752, size=600)
 >> (progress=86.75%%, states=9017258672128, size=635)
 >> (progress=86.76%%, states=9069872021504, size=632)
 >> (progress=86.77%%, states=9149328916480, size=622)
 >> (progress=86.78%%, states=9241670713344, size=625)
 >> (progress=86.78%%, states=9264756162560, size=700)
 >> (progress=86.78%%, states=9276298887168, size=706)
 >> (progress=86.79%%, states=9282070249472, size=686)
 >> (progress=86.79%%, states=9299384336384, size=669)
 >> (progress=86.79%%, states=9334012510208, size=600)
 >> (progress=86.79%%, states=9338575912960, size=615)
 >> (progress=86.79%%, states=9339918090240, size=547)
 >> (progress=86.81%%, states=9442997305344, size=533)
 >> (progress=86.82%%, states=9520306716672, size=467)
 >> (progress=86.82%%, states=9532101099520, size=360)
 >> (progress=86.82%%, states=9575587643392, size=301)
 >> (progress=87.10%%, states=12024163598336, size=489)
 >> (progress=87.21%%, states=13211998879744, size=498)
 >> (progress=87.26%%, states=13805916520448, size=470)
 >> (progress=87.41%%, states=15587669442560, size=441)
 >> (progress=87.66%%, states=19151175286784, size=300)
 >> (progress=88.41%%, states=35926680010752, size=569)
 >> (progress=88.43%%, states=36520597651456, size=550)
 >> (progress=88.45%%, states=37114515292160, size=521)
 >> (progress=88.49%%, states=38302350573568, size=299)
 >> (progress=88.50%%, states=38509431750656, size=551)
 >> (progress=88.50%%, states=38603635818496, size=560)
 >> (progress=88.50%%, states=38650737852416, size=519)
 >> (progress=88.51%%, states=38792043954176, size=465)
 >> (progress=88.51%%, states=39074656157696, size=313)
 >> (progress=88.52%%, states=39168860225536, size=598)
 >> (progress=88.52%%, states=39215962259456, size=542)
 >> (progress=88.52%%, states=39357268361216, size=532)
 >> (progress=88.53%%, states=39499958583296, size=503)
 >> (progress=88.53%%, states=39507709657088, size=481)
 >> (progress=88.53%%, states=39577871974400, size=556)
 >> (progress=88.53%%, states=39577922306048, size=541)
 >> (progress=88.53%%, states=39577972637696, size=529)
 >> (progress=89.26%%, states=72647459209216, size=713)
 >> (progress=89.35%%, states=78240915914752, size=675)
 >> (progress=89.35%%, states=78356880031744, size=697)
 >> (progress=89.35%%, states=78458348634112, size=727)
 >> (progress=89.35%%, states=78460764553216, size=730)
 >> (progress=89.35%%, states=78461972512768, size=722)
 >> (progress=89.35%%, states=78467408330752, size=767)
 >> (progress=89.35%%, states=78469220270080, size=763)
 >> (progress=89.35%%, states=78472844148736, size=696)
 >> (progress=89.36%%, states=78646790324224, size=702)
 >> (progress=89.36%%, states=78849727528960, size=707)
 >> (progress=89.36%%, states=78883550396416, size=727)
 >> (progress=89.36%%, states=78900461830144, size=730)
 >> (progress=89.36%%, states=78908917547008, size=724)
 >> (progress=89.36%%, states=78923715051520, size=793)
 >> (progress=89.36%%, states=78955423989760, size=790)
 >> (progress=89.36%%, states=79018841866240, size=746)
 >> (progress=89.36%%, states=79032733401088, size=765)
 >> (progress=89.36%%, states=79039679168512, size=768)
 >> (progress=89.36%%, states=79043152052224, size=759)
 >> (progress=89.36%%, states=79053570703360, size=751)
 >> (progress=89.36%%, states=79074408005632, size=712)
 >> (progress=89.36%%, states=79154133336064, size=645)
 >> (progress=89.36%%, states=79155945275392, size=528)
 >> (progress=90.14%%, states=150890187063296, size=636)
 >> (progress=90.16%%, states=152814332411904, size=737)
 >> (progress=90.16%%, states=152848692150272, size=741)
 >> (progress=90.16%%, states=152874461954048, size=791)
 >> (progress=90.16%%, states=152934591496192, size=777)
 >> (progress=90.16%%, states=153029080776704, size=767)
 >> (progress=90.16%%, states=153312548618240, size=771)
 >> (progress=90.16%%, states=153879484301312, size=815)
 >> (progress=90.17%%, states=154188721946624, size=781)
 >> (progress=90.19%%, states=157130103455744, size=885)
 >> (progress=90.19%%, states=157138559172608, size=879)
 >> (progress=90.19%%, states=157147014889472, size=882)
